id,config.x,config.y,result,metadata.timing.start,metadata.timing.end,metadata.search-mode
230123-142316-7566-rude-fill,1.916597884709046,-0.6437616643185677,105.6413491993146,1674483796.756865,1674483796.756874,random
230123-142316-7863-slim-bike,-2.6817046314548323,0.8560054175406924,108.31601632146467,1674483796.78652,1674483796.786524,random
230123-142316-8426-dear-fish,1.7644168914828464,3.654247787665545,108.35224539156876,1674483796.843211,1674483796.843218,random
230123-142316-9594-dual-good,-0.4343280831629519,-0.6962006708503008,199.80796233053616,1674483796.959947,1674483796.959954,random
230123-142317-1800-true-blow,0.8818147598341941,1.6016615318295475,108.98260151883588,1674483797.180297,1674483797.180305,random
230123-142317-4609-spry-salt,4.41176983967398,2.468463111774115,156.472410779247,1674483797.461267,1674483797.461272,random
230123-142317-8478-gray-dead,1.5406588307853584,1.1785561230480877,93.98654427393214,1674483797.848052,1674483797.848056,random
230123-142318-2258-twin-hour,0.9478719962222596,-1.4584319009247362,168.0548684056898,1674483798.226024,1674483798.226027,random
230123-142318-5398-lame-role,-3.84495466440338,2.5562344254633578,79.409672741331,1674483798.540034,1674483798.540038,random
230123-142318-9651-sour-deep,1.891726929433132,3.5388768492036533,94.54629278019948,1674483798.96537,1674483798.965375,random
230123-142319-3714-gray-bowl,-0.050550608838777,3.9602102118702014,147.98135966297812,1674483799.371692,1674483799.371696,random
230123-142319-7967-true-meat,-3.4897073842409814,-0.0455992341300817,129.48235212664713,1674483799.79694,1674483799.796944,random
230123-142320-2793-open-snow,4.216320422023742,-0.5299730307532693,66.87205360846724,1674483800.279591,1674483800.279595,random
230123-142320-7304-keen-suck,1.902306247604833,1.6569748921585177,60.90774125713759,1674483800.730644,1674483800.730649,random
230123-142321-1019-flat-mark,2.31253648813023,-0.8869043928241291,78.24566384364815,1674483801.102181,1674483801.102185,random
230123-142321-4769-lazy-sick,3.653404667198625,-1.8740865662966344,20.20403392750796,1674483801.477192,1674483801.477196,random
230123-142321-8510-only-deep,-1.2448736755334768,0.7668790676935497,154.172188973465,1674483801.851258,1674483801.851263,random
230123-142322-2688-easy-body,-3.510802202400104,-0.5895817814309146,121.48747770295248,1674483802.271519,1674483802.271535,random
230123-142322-6394-fine-rope,4.412584842256557,4.039814518612797,371.350879477766,1674483802.639655,1674483802.639659,random
230123-142323-0294-wide-farm,0.0627826715447827,-3.0814106336372715,221.66783353968344,1674483803.029663,1674483803.029667,random
230123-142323-4090-rich-fact,1.8243278658217967,3.604820883165754,102.19525258836543,1674483803.409284,1674483803.409288,random
230123-142323-7926-rude-wood,4.201090086288147,-0.1088518185230391,72.5350071419301,1674483803.792822,1674483803.792826,random
230123-142324-2227-fake-calm,-1.708661628902834,-2.4869501875036835,134.69846892199064,1674483804.222914,1674483804.222918,random
230123-142324-6495-trim-rent,-0.4857088429236391,-0.6185803474896936,199.1572429510289,1674483804.649743,1674483804.649748,random
230123-142325-0489-kind-hand,-1.2811928668284225,4.33424630205513,159.2817068211347,1674483805.049117,1674483805.049121,random
230123-142325-4692-wary-step,-3.974298434015566,-0.907388135253914,135.26105077860797,1674483805.469434,1674483805.469438,random
230123-142325-8950-safe-nail,0.5699680170197707,0.8528867760107106,150.13429036019187,1674483805.895306,1674483805.895311,random
230123-142326-4346-same-pair,-3.983898496727296,-1.0411079364624891,129.64829861086628,1674483806.434847,1674483806.434852,random
230123-142326-9396-arid-ruin,1.2547943351073163,-3.1024913041228936,189.5315647886994,1674483806.939868,1674483806.939874,random
230123-142327-4042-rich-hell,-1.817911443600124,-1.2550919096776705,150.39970373069002,1674483807.404488,1674483807.404492,random
230123-142327-8091-icky-head,-2.9748673635205547,3.347993530149002,24.81858816302396,1674483807.80934,1674483807.809344,random
230123-142328-2135-sore-wait,-4.266417353922658,3.946122460041359,164.6376468839616,1674483808.2138,1674483808.213804,random
230123-142328-7458-wary-baby,3.299693907846634,-2.010240575981529,24.2597149308286,1674483808.746106,1674483808.74611,random
